('aahed', '6')
('agree', '3')
('agria', '4')
('agrin', '4')
('agros', '4')
('agued', '5')
('agues', '5')
('aguna', '5')
('aguti', '5')
('ahead', '5')
('aheap', '5')
('ahent', '3')
('ahigh', '5')
('ahind', '4')
('ahing', '4')
('ahint', '4')
('ahold', '3')
('ahull', '5')
('ahuru', '5')
('aidas', '6')
('aided', '4')
('aider', '3')
('aides', '2')
('aidoi', '4')
('aidos', '3')
('aiery', '3')
('aigas', '6')
('aight', '4')
('ailed', '2')
('aimed', '3')
('aimer', '3')
('ainee', '3')
('ainga', '4')
('aioli', '4')
('aired', '2')
('airer', '3')
('airns', '3')
('airth', '3')
('airts', '2')
('aisle', '3')
('aitch', '4')
('aitus', '4')
('aiver', '4')
('aiyee', '4')
('aizle', '4')
('ajies', '5')
('ajiva', '5')
('ajuga', '5')
('ajwan', '5')
('akees', '8')
('akela', '6')
('akene', '6')
('aking', '6')
('akita', '5')
('akkas', '8')
('alaap', '5')
('alack', '6')
('alamo', '4')
('aland', '5')
('alane', '5')
('alang', '5')
('alans', '8')
('alant', '5')
('alapa', '4')
('alaps', '8')
('alarm', '5')
('alary', '6')
('alate', '5')
('alays', '9')
('albas', '5')
('albee', '5')
('album', '5')
('alcid', '4')
('alcos', '4')
('aldea', '3')
('alder', '3')
('aldol', '4')
('aleck', '5')
('alecs', '4')
('alefs', '5')
('aleft', '4')
('aleph', '5')
('alert', '4')
('alews', '6')
('aleye', '5')
('alfas', '6')
('algae', '4')
('algal', '5')
('algas', '4')
('algid', '5')
('algin', '4')
('algor', '4')
('algum', '5')
('alias', '4')
('alibi', '4')
('alien', '3')
('alifs', '4')
('align', '4')
('alike', '3')
('aline', '3')
('alist', '3')
('alive', '4')
('aliya', '5')
('alkie', '4')
('alkos', '5')
('alkyd', '5')
('alkyl', '4')
('allay', '5')
('allee', '4')
('allel', '5')
('alley', '4')
('allis', '4')
('allod', '3')
('allot', '4')
('allow', '6')
('alloy', '4')
('allyl', '4')
('almah', '5')
('almas', '4')
('almeh', '4')
('almes', '4')
('almud', '4')
('almug', '4')
('alods', '3')
('aloed', '3')
('aloes', '3')
('aloft', '4')
('aloha', '4')
('aloin', '3')
('alone', '3')
('along', '4')
('aloof', '5')
('aloos', '4')
('aloud', '4')
('alowe', '5')
('alpha', '4')
('altar', '4')
('alter', '3')
('altho', '3')
('altos', '3')
('alula', '4')
('alums', '4')
('alure', '4')
('alvar', '5')
('alway', '5')
('amahs', '4')
('amain', '4')
('amass', '6')
('amate', '4')
('amaut', '5')
('amaze', '5')
('amban', '4')
('amber', '4')
('ambit', '5')
('amble', '5')
('ambos', '4')
('ambry', '5')
('ameba', '5')
('ameer', '5')
('amend', '3')
('amene', '5')
('amens', '3')
('ament', '4')
('amias', '4')
('amice', '4')
('amici', '5')
('amide', '3')
('amido', '3')
('amids', '4')
('amies', '3')
('amiga', '4')
('amigo', '5')
('amine', '3')
('amino', '4')
('amins', '4')
('amirs', '4')
('amiss', '5')
('amity', '4')
('amlas', '6')
('amman', '5')
('ammon', '5')
('ammos', '5')
('amnia', '4')
('amnic', '4')
('amnio', '3')
('amoks', '4')
('amole', '4')
('among', '5')
('amort', '4')
('amour', '5')
('amove', '4')
('amowt', '5')
('amped', '4')
('ample', '4')
('amply', '4')
('ampul', '5')
('amrit', '4')
('amuck', '4')
('amuse', '4')
('amyls', '5')
('anana', '8')
('anata', '4')
('ancho', '4')
('ancle', '4')
('ancon', '5')
('andro', '5')
('anear', '4')
('anele', '6')
('anent', '6')
('angas', '4')
('angel', '3')
('anger', '5')
('angle', '5')
('anglo', '4')
('angry', '4')
('angst', '4')
('anigh', '5')
('anile', '3')
('anils', '3')
('anima', '4')
('anime', '3')
('animi', '5')
('anion', '5')
('anise', '3')
('anker', '6')
('ankhs', '5')
('ankle', '7')
('ankus', '4')
('anlas', '4')
('annal', '5')
('annas', '6')
('annat', '4')
('annex', '4')
('annoy', '5')
('annul', '4')
('anoas', '3')
('anode', '3')
('anole', '3')
('anomy', '4')
('ansae', '4')
('antae', '4')
('antar', '4')
('antas', '5')
('anted', '3')
('antes', '2')
('antic', '5')
('antis', '3')
('antra', '3')
('antre', '3')
('antsy', '3')
('anura', '4')
('anvil', '4')
('anyon', '5')
('aorta', '3')
('apace', '5')
('apage', '5')
('apaid', '4')
('apart', '5')
('apayd', '4')
('apays', '6')
('apeak', '5')
('apeek', '4')
('apers', '4')
('apert', '4')
('apery', '4')
('apgar', '5')
('aphid', '5')
('aphis', '4')
('apian', '4')
('aping', '4')
('apiol', '3')
('apish', '4')
('apism', '4')
('apnea', '3')
('apode', '4')
('apods', '4')
('apoop', '6')
('aport', '3')
('appal', '5')
('appay', '4')
('appel', '5')
('apple', '5')
('apply', '5')
('appro', '4')
('appui', '5')
('appuy', '5')
('apres', '3')
('apron', '3')
('apses', '6')
('apsis', '5')
('apsos', '5')
('apted', '4')
('apter', '3')
('aptly', '3')
('aquae', '5')
('aquas', '6')
('araba', '7')
('araks', '7')
('arame', '8')
('arars', '9')
('arbas', '6')
('arbor', '5')
('arced', '4')
('archi', '4')
('arcos', '4')
('arcus', '5')
('ardeb', '3')
('ardor', '4')
('ardri', '3')
('aread', '5')
('areae', '6')
('areal', '5')
('arear', '7')
('areas', '4')
('areca', '5')
('aredd', '5')
('arede', '4')
('arefy', '4')
('areic', '5')
('arena', '6')
('arene', '4')
('arepa', '5')
('arere', '5')
('arete', '3')
('arets', '2')
('arett', '3')
('argal', '5')
('argan', '5')
('argil', '5')
('argle', '4')
('argol', '4')
('argon', '4')
('argot', '4')
('argue', '5')
('argus', '6')
('arhat', '4')
('arias', '4')
('ariel', '3')
('ariki', '5')
('arils', '3')
('ariot', '3')
('arise', '3')
('arish', '3')
('arked', '5')
('arled', '2')
('arles', '2')
('armed', '3')
('armer', '4')
('armet', '3')
('armil', '4')
('armor', '4')
('arnas', '3')
('arnut', '4')
('aroba', '4')
('aroha', '5')
('aroid', '3')
('aroma', '5')
('arose', '3')
('arpas', '5')
('arpen', '3')
('arrah', '6')
('arras', '5')
('array', '5')
('arret', '2')
('arris', '5')
('arrow', '3')
('arroz', '4')
('arsed', '2')
('arses', '3')
('arsey', '3')
('arsis', '4')
('arson', '3')
('artal', '4')
('artel', '2')
('artic', '3')
('artis', '3')
('artsy', '3')
('aruhe', '6')
('arums', '4')
('arval', '6')
('arvee', '5')
('arvos', '5')
('aryls', '4')
('asana', '4')
('ascon', '3')
('ascot', '4')
('ascus', '4')
('asdic', '4')
('ashed', '4')
('ashen', '4')
('ashes', '7')
('ashet', '2')
('aside', '4')
('asked', '3')
('asker', '4')
('askew', '4')
('askoi', '3')
('askos', '6')
('aspen', '3')
('asper', '3')
('aspic', '5')
('aspie', '4')
('aspis', '5')
('aspro', '4')
('assai', '3')
('assam', '5')
('assay', '4')
('asses', '7')
('asset', '3')
('assez', '5')
('assot', '5')
('aster', '2')
('astir', '4')
('astun', '4')
('asura', '4')
('asway', '4')
('aswim', '4')
('asyla', '4')
('ataps', '4')
('ataxy', '5')
('atigi', '5')
('atilt', '4')
('atimy', '4')
('atlas', '3')
('atman', '4')
('atmas', '4')
('atmos', '4')
('atocs', '4')
('atoke', '4')
('atoks', '5')
('atoll', '3')
('atoms', '3')
('atomy', '6')
('atone', '3')
('atony', '4')
('atopy', '5')
('atria', '3')
('atrip', '3')
('attap', '5')
('attar', '4')
('attic', '4')
('atuas', '3')
('audad', '4')
('audio', '3')
('audit', '3')
('auger', '4')
('aught', '5')
('augur', '4')
('aulas', '7')
('aulic', '3')
('auloi', '4')
('aulos', '4')
('aumil', '4')
('aunes', '4')
('aunts', '3')
('aunty', '4')
('aurae', '3')
('aural', '6')
('aurar', '5')
('auras', '7')
('aurei', '3')
('aures', '2')
('auric', '4')
('auris', '3')
('aurum', '4')
('autos', '3')
('auxin', '4')
('avail', '5')
('avale', '6')
('avant', '6')
('avast', '4')
('avels', '4')
('avens', '4')
('avers', '8')
('avert', '5')
('avgas', '7')
('avian', '5')
('avine', '4')
('avion', '4')
('avise', '5')
('aviso', '4')
('avize', '4')
('avoid', '4')
('avows', '5')
('avyze', '4')
('await', '5')
('awake', '5')
('award', '6')
('aware', '6')
('awarn', '5')
('awash', '6')
('awato', '4')
('awave', '6')
('aways', '7')
('awdls', '6')
('aweel', '4')
('aweto', '4')
('awful', '5')
('awing', '7')
('awmry', '6')
('awned', '4')
('awner', '5')
('awoke', '5')
('awols', '4')
('awork', '4')
('axels', '5')
('axial', '6')
('axile', '5')
('axils', '5')
('axing', '8')
('axiom', '4')
('axion', '6')
('axite', '5')
('axled', '4')
('axles', '5')
('axman', '5')
('axmen', '4')
('axoid', '5')
('axone', '4')
('axons', '5')
('ayahs', '5')
('ayaya', '6')
('ayelp', '4')
('aygre', '3')
('ayins', '3')
('ayont', '5')
('ayres', '5')
('ayrie', '4')
('azans', '8')
('azide', '5')
('azido', '4')
('azine', '5')
('azlon', '4')
('azoic', '4')
('azole', '5')
('azons', '4')
('azote', '5')
('azoth', '4')
('azuki', '6')
('azure', '6')
('azurn', '5')
('azury', '6')
('azygy', '4')
('azyme', '4')
('azyms', '4')
('baaed', '6')
('baals', '7')
('babas', '7')
('babel', '5')
('babes', '8')
('babka', '5')
('baboo', '6')
('babul', '5')
('babus', '7')
('bacca', '5')
('bacco', '6')
('baccy', '5')
('bacha', '5')
('bachs', '5')
('backs', '8')
('bacon', '5')
('baddy', '6')
('badge', '6')
('badly', '4')
('baels', '2')
('baffs', '8')
('baffy', '7')
('bafts', '8')
('bagel', '4')
('baggy', '5')
('baghs', '5')
('bagie', '4')
('bahts', '6')
('bahus', '6')
('bahut', '4')
('bails', '5')
('bairn', '4')
('baisa', '5')
('baith', '3')
('baits', '4')
('baiza', '4')
('baize', '4')
('bajan', '5')
('bajra', '6')
('bajri', '5')
('bajus', '8')
('baked', '5')
('baken', '5')
('baker', '7')
('bakes', '6')
('bakra', '5')
('balas', '7')
('balds', '5')
('baldy', '3')
('baled', '3')
('baler', '3')
('bales', '6')
('balks', '6')
('balky', '4')
('balls', '8')
('bally', '6')
('balms', '7')
('balmy', '6')
('baloo', '5')
('balsa', '4')
('balti', '3')
('balun', '4')
('balus', '5')
('bambi', '5')
('banak', '5')
('banal', '6')
('banco', '4')
('bancs', '6')
('banda', '5')
('bandh', '4')
('bands', '6')
('bandy', '6')
('baned', '5')
('banes', '6')
('bangs', '7')
('bania', '4')
('banjo', '5')
('banks', '7')
('banns', '7')
('bants', '7')
('bantu', '4')
('banty', '6')
('banya', '4')
('bapus', '5')
('barbe', '7')
('barbs', '10')
('barby', '7')
('barca', '6')
('barde', '3')
('bardo', '3')
('bards', '6')
('bardy', '5')
('bared', '5')
('barer', '7')
('bares', '8')
('barfi', '6')
('barfs', '9')
('barge', '5')
('baric', '5')
('barks', '8')
('barky', '5')
('barms', '7')
('barmy', '4')
('barns', '5')
('barny', '4')
('baron', '4')
('barps', '6')
('barra', '5')
('barre', '6')
('barro', '4')
('barry', '6')
('barye', '4')
('basal', '4')
('basan', '4')
('based', '6')
('basen', '3')
('baser', '5')
('bases', '7')
('basho', '4')
('basic', '4')
('basij', '5')
('basil', '3')
('basin', '3')
('basis', '6')
('basks', '7')
('bason', '4')
('basse', '7')
('bassi', '4')
('basso', '4')
('bassy', '6')
('basta', '4')
('baste', '5')
('basti', '3')
('basto', '3')
('basts', '7')
('batch', '4')
('bated', '5')
('bates', '7')
('bathe', '4')
('baths', '7')
('batik', '5')
('baton', '3')
('batta', '5')
('batts', '7')
('battu', '4')
('batty', '5')
('bauds', '4')
('bauks', '5')
('baulk', '5')
('baurs', '4')
('bavin', '5')
('bawds', '5')
('bawdy', '5')
('bawks', '6')
('bawls', '7')
('bawns', '7')
('bawrs', '5')
('bawty', '4')
('bayed', '4')
('bayer', '6')
('bayes', '7')
('bayle', '5')
('bayou', '4')
('bayts', '5')
('bazar', '5')
('bazoo', '6')
('beach', '4')
('beads', '4')
('beady', '3')
('beaks', '5')
('beaky', '5')
('beals', '6')
('beams', '4')
('beamy', '4')
('beano', '4')
('beans', '6')
('beany', '4')
('beard', '4')
('beare', '6')
('bears', '6')
('beast', '3')
('beath', '6')
('beats', '6')
('beaty', '5')
('beaus', '4')
('beaut', '3')
('beaux', '5')
('bebop', '4')
('becap', '4')
('becke', '5')
('becks', '6')
('bedad', '6')
('bedel', '4')
('bedes', '6')
('bedew', '4')
('bedim', '4')
('bedye', '4')
('beech', '4')
('beedi', '4')
('beefs', '6')
('beefy', '5')
('beeps', '5')
('beers', '6')
('beery', '4')
('beets', '5')
('befit', '6')
('befog', '5')
('begad', '5')
('began', '5')
('begar', '4')
('begat', '4')
('begem', '5')
('beget', '5')
('begin', '5')
('begot', '5')
('begum', '4')
('begun', '4')
('beige', '5')
('beigy', '4')
('being', '4')
('beins', '5')
('bekah', '4')
('belah', '4')
('belar', '3')
('belay', '4')
('belch', '4')
('belee', '7')
('belga', '5')
('belie', '4')
('belle', '6')
('bells', '7')
('belly', '4')
('belon', '4')
('below', '4')
('belts', '7')
('bemad', '4')
('bemas', '4')
('bemix', '5')
('bemud', '3')
('bench', '4')
('bends', '6')
('bendy', '4')
('benes', '6')
('benet', '4')
('benga', '5')
('benis', '5')
('benne', '6')
('benni', '4')
('benny', '5')
('bento', '5')
('bents', '6')
('benty', '4')
('bepat', '3')
('beray', '4')
('beres', '7')
('beret', '4')
('bergs', '6')
('berko', '4')
('berks', '7')
('berme', '3')
('berms', '6')
('berob', '5')
('berry', '5')
('berth', '5')
('beryl', '4')
('besat', '3')
('besaw', '3')
('besee', '5')
('beses', '6')
('beset', '5')
('besit', '3')
('besom', '4')
('besot', '4')
('besti', '4')
('bests', '7')
('betas', '3')
('beted', '4')
('betel', '4')
('betes', '6')
('beths', '5')
('betid', '4')
('beton', '4')
('betta', '3')
('betty', '7')
('bevel', '6')
('bever', '5')
('bevor', '5')
('bevue', '5')
('bevvy', '5')
('bewet', '6')
('bewig', '4')
('bezel', '7')
('bezes', '7')
('bezil', '5')
('bezzy', '6')
('bhais', '4')
('bhaji', '5')
('bhang', '4')
('bhats', '7')
('bhels', '5')
('bhoot', '4')
('bhuna', '4')
('bhuts', '6')
('biach', '4')
('biali', '5')
('bialy', '4')
('bibbs', '7')
('bibes', '7')
('bible', '4')
('biccy', '5')
('bicep', '4')
('bices', '4')
('biddy', '5')
('bided', '4')
('bider', '4')
('bides', '4')
('bidet', '3')
('bidis', '4')
('bidon', '3')
('bield', '3')
('biers', '4')
('biffo', '5')
('biffs', '6')
('biffy', '6')
('bifid', '4')
('bigae', '3')
('biggs', '5')
('biggy', '5')
('bigha', '4')
('bight', '6')
('bigly', '4')
('bigos', '6')
('bigot', '4')
('bijou', '5')
('biked', '5')
('biker', '5')
('bikes', '6')
('bikie', '5')
('bilbo', '5')
('bilby', '5')
('biled', '4')
('biles', '5')
('bilge', '4')
('bilgy', '4')
('bilks', '5')
('bills', '6')
('billy', '5')
('bimah', '4')
('bimas', '4')
('bimbo', '6')
('binal', '3')
('bindi', '4')
('binds', '5')
('biner', '5')
('bines', '7')
('binge', '5')
('bingo', '4')
('bings', '6')
('bingy', '5')
('binit', '4')
('binks', '6')
('bints', '7')
('biogs', '4')
('biome', '3')
('biont', '4')
('biota', '3')
('biped', '4')
('bipod', '4')
('birch', '4')
('birds', '4')
('birks', '5')
('birle', '3')
('birls', '7')
('biros', '4')
('birrs', '6')
('birse', '3')
('birsy', '3')
('birth', '5')
('bises', '6')
('bisks', '4')
('bisom', '4')
('bison', '3')
('bitch', '5')
('biter', '7')
('bites', '7')
('bitos', '3')
('bitou', '4')
('bitsy', '5')
('bitte', '4')
('bitts', '6')
('bitty', '4')
('bivia', '4')
('bivvy', '7')
('bizes', '7')
('bizzo', '6')
('bizzy', '8')
('blabs', '9')
('black', '4')
('blade', '4')
('blads', '5')
('blady', '4')
('blaer', '3')
('blaes', '4')
('blaff', '5')
('blags', '7')
('blahs', '6')
('blain', '4')
('blame', '5')
('blams', '5')
('bland', '3')
('blank', '5')
('blare', '3')
('blart', '4')
('blase', '3')
('blash', '6')
('blast', '5')
('blate', '4')
('blats', '5')
('blatt', '6')
('blaud', '4')
('blawn', '4')
('blaws', '8')
('blays', '6')
('blaze', '6')
('bleak', '5')
('blear', '4')
('bleat', '5')
('blebs', '7')
('blech', '4')
('bleed', '5')
('bleep', '5')
('blees', '5')
('blend', '3')
('blent', '4')
('blert', '4')
('bless', '7')
('blest', '4')
('blets', '4')
('bleys', '6')
('blimp', '4')
('blimy', '4')
('blind', '3')
('bling', '5')
('blini', '5')
('blink', '5')
('blins', '3')
('bliny', '3')
('blips', '5')
('bliss', '6')
('blist', '4')
('blite', '3')
('blits', '4')
('blitz', '3')
('blive', '6')
('bloat', '4')
('blobs', '8')
('block', '5')
('blocs', '5')
('blogs', '6')
('bloke', '6')
('blond', '3')
('blood', '4')
('blook', '6')
('bloom', '5')
('bloop', '5')
('blore', '3')
('blots', '5')
('blown', '5')
('blows', '7')
('blowy', '4')
('blubs', '5')
('blude', '4')
('bluds', '4')
('bludy', '3')
('blued', '5')
('bluer', '4')
('blues', '5')
('bluet', '4')
('bluey', '5')
('bluff', '5')
('bluid', '5')
('blume', '4')
('blunk', '5')
('blunt', '3')
('blurb', '4')
('blurs', '3')
('blurt', '3')
('blush', '5')
('blype', '4')
('boabs', '5')
('boaks', '4')
('board', '3')
('boars', '3')
('boart', '3')
('boast', '4')
('boats', '6')
('bobac', '5')
('bobak', '5')
('bobas', '5')
('bobby', '7')
('bobol', '5')
('bobos', '8')
('bocca', '5')
('bocce', '5')
('bocci', '4')
('boche', '5')
('bocks', '7')
('boded', '4')
('bodes', '5')
('bodge', '4')
('bodhi', '3')
('bodle', '4')
('boeps', '5')
('boets', '3')
('boeuf', '4')
('boffo', '5')
('boffs', '7')
('bogan', '4')
('bogey', '4')
('boggy', '6')
('bogie', '4')
('bogle', '5')
('bogue', '5')
('bogus', '5')
('bohea', '3')
('bohos', '7')
('boils', '5')
('boing', '4')
('boink', '4')
('boite', '3')
('boked', '6')
('bokeh', '4')
('bokes', '6')
('bokos', '5')
('bolar', '5')
('bolas', '5')
('bolds', '5')
('boles', '7')
('bolix', '5')
('bolls', '8')
('bolos', '8')
('bolts', '7')
('bolus', '4')
('bomas', '4')
('bombe', '5')
('bombo', '5')
('bombs', '7')
('bonce', '4')
('bonds', '6')
('boned', '4')
('boner', '5')
('bones', '5')
('boney', '6')
('bongo', '6')
('bongs', '7')
('bonie', '3')
('bonks', '7')
('bonne', '5')
('bonny', '5')
('bonus', '4')
('bonza', '4')
('bonze', '5')
('booai', '3')
('booay', '5')
('boobs', '7')
('booby', '6')
('boody', '6')
('booed', '8')
('boofy', '7')
('boogy', '5')
('boohs', '6')
('books', '7')
('booky', '6')
('bools', '8')
('booms', '5')
('boomy', '5')
('boong', '5')
('boons', '4')
('boord', '5')
('boors', '6')
('boose', '7')
('boost', '4')
('booth', '5')
('boots', '8')
('booty', '6')
('booze', '5')
('boozy', '8')
('boppy', '7')
('borak', '5')
('boral', '6')
('boras', '4')
('borax', '6')
('borde', '3')
('bords', '5')
('bored', '5')
('boree', '4')
('borel', '3')
('borer', '5')
('bores', '7')
('borgo', '5')
('boric', '5')
('borks', '6')
('borms', '6')
('borna', '4')
('borne', '3')
('boron', '5')
('borts', '5')
('borty', '5')
('bortz', '5')
('bosie', '5')
('bosks', '6')
('bosky', '4')
('bosom', '5')
('boson', '4')
('bossy', '5')
('bosun', '3')
('botas', '4')
('botch', '4')
('botel', '3')
('botes', '8')
('bothy', '5')
('botte', '4')
('botts', '7')
('botty', '7')
('bouge', '5')
('bough', '4')
('bouks', '5')
('boule', '5')
('boult', '5')
('bound', '6')
('bouns', '3')
('bourd', '4')
('bourg', '5')
('bourn', '5')
('bouse', '5')
('bousy', '4')
('bouts', '5')
('bovid', '4')
('bowat', '4')
('bowed', '7')
('bowel', '5')
('bower', '8')
('bowes', '7')
('bowet', '6')
('bowie', '5')
('bowls', '7')
('bowne', '5')
('bowrs', '6')
('bowse', '6')
('boxed', '9')
('boxen', '6')
('boxer', '9')
('boxes', '8')
('boxla', '5')
('boxty', '7')
('boyar', '4')
('boyau', '5')
('boyed', '5')
('boyfs', '6')
('boygs', '5')
('boyla', '4')
('boyos', '7')
('boysy', '4')
('bozos', '7')
('braai', '4')
('brace', '4')
('brach', '4')
('brack', '4')
('bract', '4')
('brads', '5')
('braes', '3')
('brags', '7')
('braid', '3')
('brail', '3')
('brain', '3')
('brake', '6')
('braks', '6')
('braky', '5')
('brame', '5')
('brand', '3')
('brane', '4')
('brank', '5')
('brans', '4')
('brant', '5')
('brash', '5')
('brass', '9')
('brast', '3')
('brats', '5')
('brava', '6')
('brave', '7')
('bravi', '5')
('bravo', '5')
('brawl', '5')
('brawn', '5')
('braws', '10')
('braxy', '6')
('brays', '8')
('braza', '6')
('braze', '8')
('bread', '3')
('break', '5')
('bream', '4')
('brede', '6')
('breds', '4')
('breed', '6')
('breem', '4')
('breer', '6')
('brees', '7')
('breid', '3')
('breis', '3')
('breme', '5')
('brens', '3')
('brent', '5')
('brere', '5')
('brers', '5')
('breve', '6')
('brews', '6')
('breys', '5')
('briar', '4')
('bribe', '7')
('brick', '5')
('bride', '4')
('brief', '5')
('brier', '5')
('bries', '6')
('brigs', '6')
('briki', '5')
('briks', '5')
('brill', '5')
('brims', '6')
('brine', '4')
('bring', '4')
('brink', '5')
('brins', '4')
('briny', '3')
('brios', '4')
('brise', '5')
('brisk', '4')
('briss', '7')
('brith', '4')
('brits', '4')
('britt', '5')
('brize', '6')
('broad', '3')
('broch', '4')
('brock', '5')
('brods', '5')
('brogh', '5')
('brogs', '5')
('broil', '4')
('broke', '5')
('brome', '5')
('bromo', '6')
('bronc', '4')
('brond', '3')
('brood', '4')
('brook', '6')
('brool', '6')
('broom', '5')
('broos', '6')
('brose', '5')
('brosy', '5')
('broth', '3')
('brown', '4')
('brows', '7')
('brugh', '4')
('bruin', '4')
('bruit', '3')
('brule', '3')
('brume', '4')
('brung', '4')
('brunt', '4')
('brush', '5')
('brusk', '6')
('brust', '4')
('brute', '4')
('bruts', '3')
('buats', '4')
('buaze', '6')
('bubal', '5')
('bubas', '5')
('bubba', '7')
('bubbe', '5')
('bubby', '7')
('bubus', '7')
('buchu', '4')
('bucko', '4')
('bucks', '6')
('bucku', '4')
('budas', '4')
('buddy', '6')
('budge', '5')
('budis', '3')
('budos', '3')
('buffa', '6')
('buffe', '5')
('buffi', '4')
('buffo', '5')
('buffs', '6')
('buffy', '6')
('bufos', '4')
('bufty', '5')
('buggy', '6')
('bugle', '5')
('buhls', '4')
('buhrs', '4')
('buiks', '4')
('build', '3')
('built', '3')
('buist', '5')
('bukes', '5')
('bulbs', '7')
('bulge', '4')
('bulgy', '5')
('bulks', '6')
('bulky', '6')
('bulla', '6')
('bulls', '8')
('bully', '7')
('bulse', '5')
('bumbo', '4')
('bumfs', '6')
('bumph', '4')
('bumps', '7')
('bumpy', '5')
('bunas', '4')
('bunce', '5')
('bunch', '5')
('bunco', '3')
('bunde', '4')
('bundh', '3')
('bunds', '3')
('bundt', '3')
('bundu', '4')
('bundy', '4')
('bungs', '5')
('bungy', '4')
('bunia', '3')
('bunje', '5')
('bunjy', '6')
('bunko', '4')
('bunks', '4')
('bunns', '4')
('bunny', '5')
('bunts', '8')
('bunty', '4')
('bunya', '4')
('buoys', '4')
('buppy', '7')
('buran', '3')
('buras', '5')
('burbs', '8')
('burds', '5')
('buret', '3')
('burfi', '5')
('burgh', '4')
('burgs', '6')
('burin', '3')
('burka', '5')
('burke', '4')
('burks', '5')
('burls', '7')
('burly', '5')
('burns', '5')
('burnt', '3')
('buroo', '5')
('burps', '5')
('burqa', '6')
('burro', '4')
('burrs', '7')
('burry', '7')
('bursa', '3')
('burse', '4')
('burst', '6')
('busby', '6')
('bused', '4')
('buses', '6')
('bushy', '5')
('busks', '6')
('busky', '5')
('bussu', '5')
('busti', '3')
('busts', '5')
('busty', '6')
('butch', '5')
('buteo', '4')
('butes', '6')
('butle', '4')
('butoh', '5')
('butte', '4')
('butts', '7')
('butty', '6')
('butut', '4')
('butyl', '4')
('buxom', '4')
('buyer', '4')
('buzzy', '7')
('bwana', '5')
('bwazi', '5')
('byded', '4')
('bydes', '5')
('byked', '6')
('bykes', '5')
('bylaw', '4')
('byres', '6')
('byrls', '4')
('byssi', '5')
('bytes', '5')
('byway', '4')
('caaed', '7')
('cabal', '5')
('cabas', '6')
('cabby', '5')
